;分区名称|显示名称|服务器名|服务器 IP|端口|登陆密码
;-------------------------------------------------
★1.85复古·王者合击-[火爆★战区]★|-----------------------------|傲气凌云|1|1|1
★1.85复古·王者合击-[火爆★战区]★|-----本服无客服QQ,无GM------|傲气凌云|1|1|1
★1.85复古·王者合击-[火爆★战区]★|--充值官方网站:www.020bb.com--|傲气凌云|1|1|1
★1.85复古·王者合击-[火爆★战区]★|-----------------------------|傲气凌云|1|1|1
★1.85复古·王者合击-[火爆★战区]★|【电信】凌云9区【刚开一秒】|傲气凌云|58.218.207.236|7014|
★1.85复古·王者合击-[火爆★战区]★|【电信】凌云9区【刚开一秒】|傲气凌云|58.218.207.236|7014|
★1.85复古·王者合击-[火爆★战区]★|【网通】凌云9区【刚开一秒】|傲气凌云|112.84.84.236|7014|
★1.85复古·王者合击-[火爆★战区]★|【网通】凌云9区【刚开一秒】|傲气凌云|112.84.84.236|7014|
★1.85复古·王者合击-[火爆★战区]★|-----------------------------|傲气凌云|1|1|1
★1.85复古·王者合击-[火爆★战区]★|【电信】凌云7-8区【正常开放】|傲气凌云|58.218.207.236|7018|
★1.85复古·王者合击-[火爆★战区]★|【电信】凌云7-8区【正常开放】|傲气凌云|58.218.207.236|7018|
★1.85复古·王者合击-[火爆★战区]★|【网通】凌云7-8区【正常开放】|傲气凌云|112.84.84.236|7018|
★1.85复古·王者合击-[火爆★战区]★|【网通】凌云7-8区【正常开放】|傲气凌云|112.84.84.236|7018|
★1.85复古·王者合击-[火爆★战区]★|-----------------------------|傲气凌云|1|1|1
★1.85复古·王者合击-[火爆★战区]★|【电信】凌云1-6区【正常开放】|傲气凌云|58.218.207.236|7012|
★1.85复古·王者合击-[火爆★战区]★|【电信】凌云1-6区【正常开放】|傲气凌云|58.218.207.236|7012|
★1.85复古·王者合击-[火爆★战区]★|【网通】凌云1-6区【正常开放】|傲气凌云|112.84.84.236|7012|
★1.85复古·王者合击-[火爆★战区]★|【网通】凌云1-6区【正常开放】|傲气凌云|112.84.84.236|7012| 
